缩略词,全称,简要解释,定义索引,引用索引
JPEG,Joint Photographic Experts Group,联合图像专家小组发明的一种图像压缩标准,S2-15,"S2-15, S2-20, S2-51, S2-52, S2-53"
LAN,Local Area Network,局域网,,"S0-11, S1-68, H1, S2-31, S2-32, S2-33, S4-58, S4-59"
LS,Link State,连接状态，一种动态全局路由算法(Dijkstra),S4-75,S4-75
MAC,Media Address Control,媒体地址控制,,S5-4
MAN,Metropolitan Area Network,城域网,H1,H1
MANET,Mobile ad hoc Network,移动自组织网络,S6-9,S6-9
MIME,Multipurpose Internet Mail Extension,多用途互联网邮件拓展类型，RFC 2045，RFC2056,S2-51,"S2-51, S2-52, S2-53"
MOSPF,Multicast OSPF,多播形式的OSPF,S4-107,S4-107
MpegX,,,S2-52,S2-52
MPLS,Multi-Protocol Label Switching,多协议标签交换,,S5-83
MS,Master,,,S0-4
MSS,Maximum Segment Size,最大段大小,S3-53,"S3-53, S3-54, S3-89"
MTU,Maximum Transmission Unit,最大传输单元（bytes）,S4-32,"S4-32, S4-33"
MX,Mail eXchanger,邮件服务器地址，DNS记录,S2-63,S2-63
NAK,Negative Acknowledgement,反向确认信息，表明没收到,S3-18,"S3-18, S3-19, S3-20, S3-21, S3-22, S3-23, S3-24, S3-25, S3-26"
NAP,,,,S0-6
NAT,Network Address Translation,网络地址转换,S4-55,"S4-55, S4-56, S4-57, S4-59"
NAV,Network Allocation Vector,网络分配矢量,,"S6-22, S6-24"
NCP,Network Control Protocol,网络控制协议,S1-61,S1-61
NFS,Network File System,网络文件系统,,"S2-94, S3-10"
NI,No Increase,NI bit：非增指示位，RM cell,S3-80,S3-80
NIC,Network Interface Card,网卡,S5-6,S5-6
NS,Name Server,域名服务器地址，DNS记录,S2-63,S2-63
NSF,National Science Fund,美国国家科学基金会,S1-64,S1-64
NSFNet,National Science Fund Network,美国国家科学基金会资助的网络，研究用,S1-63,"S1-63, S1-64"
OLT,Optical Line Terminal,光线路终端,S1-18,S1-18
ONT,Optical Network Terminal,光纤网络终端,S1-18,S1-18
OS,Operating System,,,"S1-3, S2-7, S2-8, S2-22, S2-68, S2-72"
OSPF,Open Shortest Path First,开放的最短路径优先（协议），使用LS算法,S4-106,"S4-17, S4-30, S4-99"
P2P,Peer to Peer,对等网络,S1-64,"S1-64, S1-65, S2-1, S2-2, S2-3, S2-5, S2-6, S2-89, S3-53, S4-59"
PC,Personal Computer,,,"S1-4, S1-12, S1-13, S1-17, S2-27"
PCMCI,,,,S5-6
PDA,Personal Digital Assistant,掌上电脑,,S6-1
PDU,Protocol Data Unit,协议数据单元,,S1-51
PON,Passive Optical Network,无源光纤网络,S1-18,S1-18
POP,Point Of Presence,出现点，ISP的边缘,S1-35,S1-35
POP,Post Office Protocol,邮局协议，主要是下载邮件,S2-48,"S2-48, S2-89"
POP3,Post Office Protocol v3,邮局协议3，主要是下载邮件,S2-49,"S2-1, S2-48, S2-49, S2-50, S2-94"
PPP,the Point-to-Point Protocol,点对点协议,,"S0-11, S1-49, S5-12"
PPP-LCP,PPP Link Control Protocol,PPP链路控制协议,,S5-68
PSH,PuSH data now,立即将TCP段压入网络层，TCP Flag，通常不用,S3-54,S3-54
QAM,Quadrature Amplitude Modulation,正交振幅调制,S6-11,S6-11
QoS,Quality of Service,服务质量（丢包，时延，吞吐量，安全性）,S2-11,"S2-11, S4-6"
rdt,reliable data transfer (protocol),,S3-14,"S3-14, S3-15, S3-16, S3-17, S3-19, S3-20, S3-21, S3-22, S3-23, S3-24, S3-25, S3-26, S3-27, S3-28, S3-29, S3-30, S3-31, S3-32, S3-33, S3-34, S3-35, S3-41, S3-42, S3-45"
RFC,Request For Comments,,,"S1-6, S2-10, S2-14, S2-37, S2-42, S2-47, S2-48, S2-51, S2-62, S3-11, S3-59, S4-25"
RIP,Routing Information Protocol,路由信息协议，运用DV算法,S4-100,"S3-10, S4-17, S4-30, S4-99"
RM cell,Resource Management cell,资源管理信元,S3-79,S3-79
RR,Resource Record,资源记录，DNS记录,S2-63,"S2-63, S2-64, S2-65"
RST,Reset,重置，TCP Flag,S3-54,S3-54
RSVP,Resource Reservation Protocol,资源预留协议,,S0-13
RTP,Real-time Transport Protocol,实时传输协议，多媒体通讯,S2-14,"S2-14, S3-10"
RTS,Request-To-Send,请求发送权（类似申请总线）,S6-24,S6-24
RTT,Round Trip Time,一次请求到返回的时间,S2-21,"S2-21, S2-22, S3-37, S3-65, S3-66, S3-67, S3-83, S3-87, S3-90, S3-91, S3-92, S4-25"
SIFS,Short Inter-Frame Space,短帧间间隔,S6-22,S6-22
SIP,Session Initiation Protocol,会话初始协议，多媒体通讯,S2-14,S2-14
SMTP,Simple Mail Transport Protocol,简单邮件传输协议,S2-42,"S1-49, S1-63, S1-67, H1, S2-1, S2-10, S2-14, S2-40, S2-41, S2-42, S2-43, S2-44, S2-45, S2-46, S2-47, S2-48, S2-89, S2-94"
SNA,Systems Network Architecture,IBM 系统网络体系结构,S1-62,S1-62
SNA,,,,S3-78
SNMP,Simple Network Management Protocol,简单网络管理协议,,"S0-15, S2-94"
SNR,Signal-to-Noise Ratio,信噪比,S6-11,S6-11
SR,Selective Repeat,选择重传，一种流水线发包算法,S3-47,"S3-45, S3-47, S3-48, S3-49, S3-50, S3-51, S3-52"
SSID,Service Set Identifier,服务集标识符,S6-19,S6-19
SSL,Secure Sockets Layer,安全套接层,,S0-14
STP,Spanning Tree Protocol,生成树协议,S5-89,S5-89
SYN,Synchronize,同步（开始连接），TCP Flag,S3-54,"S3-54, S3-68, S3-69, S3-71"
TCP,Transmission Control Protocol,传输控制协议,S3-53,"S0-9, S1-6, S1-49, S1-63, S1-67, H1, S2-8, S2-13, S2-14, S2-17, S2-18, S2-19, S2-20, S2-21, S2-22, S2-38, S2-42, S2-43, S2-68, S2-70, S2-75, S2-80, S2-81, S2-82, S2-83, S2-84, S2-85, S2-86, S2-87, S2-88, S2-89, S2-91, S3-1, S3-3, S3-5, S3-8, S3-38, S3-45, S3-53, S3-55, S3-56, S3-58, S3-59, S3-60, S3-61, S3-62, S3-63, S3-64, S3-65, S3-66, S3-68, S3-69, S3-70, S3-71, S3-78, S3-81, S3-82, S3-83, S3-84, S3-85, S3-86, S3-88, S3-89, S3-90, S3-91, S3-92, S3-93, S3-94, S3-95, S4-30, S4-31"
TCP/IP,Transmission Control Protocol/Internet Protocol,传输控制协议/因特网互联协议，又名网络通讯协议,,"S1-63, H1, S2-91"
TCP/IP ECN,,,,S3-78
TDM,Time Division Multiplexing,时分复用,S1-27,"S1-27, S1-28"
TDMA,Time Division Multiple Access,时分多路访问,S5-16,S5-16
TD-SCDMA,Time-Division Synchronous Code Division Multiple Access,时分同步码分多路访问，3G,S6-39,S6-39
TFTP,Trivial File Transfer Protocol,简易文件传输协议，类似 FTP,S1-67,"S1-67, S2-94, S3-10"
TIFF,,,S2-52,S2-52
TLD,Top Level Domain,顶层DNS服务器,S2-58,"S2-56, S2-58, S2-60, S2-61, S2-62"
TOS,Type Of Service,服务类型标记,S4-107,S4-107
TPDU,Transport Protocol Data Unit,传输协议数据单元,S3-4,S3-4
TTL,,,,"S4-62, S4-63"
TV,,,,"S0-2, S1-17"
UA,User Agent,用户代理,S2-40,"S2-40, S2-41, S2-43"
UDP,User Datagram Protocol,用户数据报协议,S3-9,"S0-9, S1-49, S1-67, S2-13, S2-14, S2-68, S2-71, S2-72, S2-74, S2-75, S2-76, S2-77, S2-78, S2-79, S2-89, S2-91, S3-1, S3-3, S3-5, S3-7, S3-9, S3-10, S3-11, S3-12, S3-53, S3-94, S3-95, S4-30, S4-31"
udt,unreliable data transfer (protocol),,S3-14,"S3-14, S3-15, S3-17, S3-19, S3-20, S3-21, S3-23, S3-24, S3-27, S3-28, S3-30, S3-31, S3-41, S3-42"
UMTS,Universal Mobilie Telecommunications Service,3G,S6-39,S6-39
UPnP,Universal Plug and Play,通用即插即用（接口）,S4-61,S4-61
URG,URGent data,紧急数据，TCP Flag，通常不用,S3-54,"S3-54, S3-90"
URL,Uniform Resoure Locator,统一资源定位器,S2-15,"S2-15, S2-19, S2-24, S2-66, S2-67, S2-93"
VANET,Vehicular ad hoc Network,车载自组织网络,S6-9,S6-9
VC,Virtual Circuit,虚拟电路,S4-9,"S4-5, S4-6, S4-9, S4-10, S4-11, S4-12, S4-16"
VLAN,Virtual Local Area Network,虚拟局域网,S5-61,S5-60
VM,Virtual Machine,虚拟机,,S5-73
VoIP,Voice over Internet Protocol,网络电话,,"S1-7, S1-65, S2-2, S2-6"
WAN,Wireless Access Network,无线接入网络,S1-20,"S1-20, H1, S4-58"
WAP,Wireless Application Protocol,无线应用协议，用于无线设备的上网,H1,H1
WBAN,Wireless Body Area Network,无线体域网,S6-2,S6-2
WDM,Wavelength Division Multiplexing,波分复用,S1-26,S1-26
Wi-Fi,Wireless Fidelity,基于IEEE 802.11b标准的无线局域网,,S1-23
WiMAX,Worldwide Interoperability for Microwave Access,全球微波互联接入，4G技术,S1-20,"S1-20, S6-6"
WINS,Windows Internet Name Service,Windows 网络名称服务,S2-92,S2-92
WLAN,Wireless Local Area Network,无线局域网,S6-2,"S0-12, S1-20, S1-23"
WMAN,Wireless Metropolitan Area Network,无线城域网,S6-2,S6-2
WMN,Wireless Mesh Network,无线网状网,S6-2,S6-2
WPAN,Wireless Personal Area Network,无线私人网,S6-2,S6-2
WSN,Wireless Sensor Network,无线传感网,S6-2,S6-2
WWAN,Wireless Wide Area Network,无线广域网,S6-2,S6-2
Xerox PARC,Xerox Palo Alto Research Center,施乐帕克研究中心,S1-62,S1-62
XNA,X Next-generation Architecture,微软开发的基于DirectX的游戏开发环境（？？？）,S1-62,S1-62
